id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
amba_case_study_unreal_pb_2_pe_.ltl	yes	0.086279		yes	0.083628	
amba_case_study_unreal_pb_3_pe_.ltl	yes	0.089865		yes	0.094164	
amba_case_study_unreal_pb_4_pe_.ltl	yes	0.095399		yes	0.098844	
amba_case_study_unreal_pb_5_pe_.ltl	yes	0.116263		yes	0.115829	
amba_decomposed_arbiter_pb_10_pe_.ltl	no	0.862967	budget_exhausted	no	1.013546	budget_exhausted
amba_decomposed_arbiter_pb_11_pe_.ltl	no	0.880967	budget_exhausted	no	1.032715	budget_exhausted
amba_decomposed_arbiter_pb_12_pe_.ltl	no	0.862659	budget_exhausted	no	1.026767	budget_exhausted
amba_decomposed_arbiter_pb_13_pe_.ltl	no	0.853990	budget_exhausted	no	1.005217	budget_exhausted
amba_decomposed_arbiter_pb_2_pe_.ltl	yes	0.073087		yes	0.073240	
amba_decomposed_arbiter_pb_3_pe_.ltl	yes	0.076438		yes	0.079331	
