pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
485263271,LTL-Real/amba_decomposed_lock_4.tlsf,9158534,ltlsynt realizability,29005,seqrealds,359219,complete,0.066203,0.0659749,113188.0,REALIZABLE,-,realizable
485263272,LTL-Real/amba_decomposed_lock_4.tlsf,9158534,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.155159,0.153397,113188.0,REALIZABLE,-,realizable
485263273,LTL-Real/amba_decomposed_lock_4.tlsf,9158534,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.154654,0.154243,113188.0,REALIZABLE,-,realizable
485263274,LTL-Real/amba_decomposed_lock_4.tlsf,9158534,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.150739,0.152939,113188.0,REALIZABLE,-,realizable
485263275,LTL-Real/amba_decomposed_lock_4.tlsf,9158534,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.146858,0.147969,113188.0,REALIZABLE,-,realizable
485263794,LTL-Real/amba_decomposed_lock_6.tlsf,9158609,ltlsynt realizability,29005,seqreallar,359217,complete,0.449077,0.448859,113188.0,REALIZABLE,-,realizable
485263795,LTL-Real/amba_decomposed_lock_6.tlsf,9158609,ltlsynt realizability,29005,seqrealsd,359218,complete,0.448707,0.449693,113188.0,REALIZABLE,-,realizable
485263796,LTL-Real/amba_decomposed_lock_6.tlsf,9158609,ltlsynt realizability,29005,seqrealds,359219,complete,0.446534,0.446289,113188.0,REALIZABLE,-,realizable
485263797,LTL-Real/amba_decomposed_lock_6.tlsf,9158609,Strix LTL-Real,29016,ltl_realizability_parallel_conf2,359236,complete,0.256397,0.239605,113188.0,REALIZABLE,-,realizable
485263798,LTL-Real/amba_decomposed_lock_6.tlsf,9158609,Strix LTL-Real,29016,ltl_realizability_parallel_conf1,359237,complete,0.249425,0.238375,113188.0,REALIZABLE,-,realizable
485263799,LTL-Real/amba_decomposed_lock_6.tlsf,9158609,Strix LTL-Real,29016,ltl_realizability_sequential_conf1,359238,complete,0.236497,0.239441,113188.0,REALIZABLE,-,realizable
485263800,LTL-Real/amba_decomposed_lock_6.tlsf,9158609,Strix LTL-Real,29016,ltl_realizability_sequential_conf2,359239,complete,0.236177,0.237485,113188.0,REALIZABLE,-,realizable
